datetaime,price,market_caps,total_volumes
2024-09-27 09:05:25,5.887,14926053206.201315,421827353.71087855
2024-09-27 10:07:17,5.888,14942515552.442148,414809403.13444406
2024-09-27 11:10:55,5.86,14880385384.654762,411469850.0612467
2024-09-27 12:05:26,5.878,14905936090.010777,410155017.0391462
2024-09-27 13:11:41,5.998,15191657356.832481,417619464.733573
2024-09-27 14:04:30,6.008,15213220448.508192,446416187.0872794
2024-09-27 15:11:40,6.047,15324494715.587435,473304241.2805147
2024-09-27 16:07:39,5.985,15176180266.21295,471182498.79335773
2024-09-27 17:11:05,6.073,15414938369.991552,465064818.2050647
2024-09-27 18:11:12,6.076,15400383855.916254,477635360.86992085
2024-09-27 19:08:52,6.096,15457305955.62978,481740597.33682793
2024-09-27 20:07:30,6.035,15319029090.296238,483413408.26285267
2024-09-27 21:10:08,6.037,15309562770.354427,354710411.3655884
2024-09-27 22:08:15,6.002,15228384562.441067,488633203.3453437
2024-09-27 23:02:21,6.002,15223541166.600521,491379657.8686296
2024-09-28 00:02:50,5.986,15186684681.685442,482793275.4988624
2024-09-28 01:10:30,5.988,15193421888.144302,478464172.7365743
2024-09-28 02:02:03,6.03,15276751758.604362,477967123.31931245
2024-09-28 03:07:44,6.047,15334152198.655134,483601556.949279
2024-09-28 04:11:08,6.044,15334584806.314438,484729268.51731974
2024-09-28 05:13:02,6.036,15297427086.599009,487489871.9288989
2024-09-28 06:03:49,5.977,15159854326.370636,478469326.0257958
2024-09-28 07:05:56,5.929,15034535812.707163,482899501.8946101
2024-09-28 08:13:30,5.901,14974806937.170471,475372278.19251275
2024-09-28 09:12:37,5.847,14845875157.028212,473812872.8202698
2024-09-28 10:03:05,5.923,15015490223.416733,476767114.75380653
2024-09-28 11:11:46,5.929,15041874744.5555,470091810.801906
2024-09-28 12:07:09,5.935,15068304967.548325,467393596.96195716
2024-09-28 13:03:10,5.899,14971569157.062967,460598126.9366595
2024-09-28 14:02:39,5.855,14854070011.219128,421057200.967848
2024-09-28 15:13:22,5.843,14796232679.028248,385760248.0606849
2024-09-28 16:09:44,5.865,14852095902.442719,372781095.1812943
2024-09-28 17:13:31,5.845,14820685914.644321,333912351.85951614
2024-09-28 18:01:54,5.857,14853011258.314064,315721665.8457103
2024-09-28 19:04:47,5.876,14900581624.75167,311079002.3143567
2024-09-28 20:12:41,5.888,14927359616.883501,299097057.592563
2024-09-28 21:04:56,5.877,14902338945.863468,288802500.4430409
2024-09-28 22:12:47,5.859,14864396068.955246,281937314.62707675
2024-09-28 23:07:35,5.887,14926473725.897154,285146801.07699925
2024-09-29 00:10:46,5.867,14927365462.725641,283209633.3532315
2024-09-29 01:07:48,5.834,14777421735.895752,285920134.71608084
2024-09-29 02:04:31,5.832,14780406265.041239,281102533.06626564
2024-09-29 03:02:11,5.847,14827450319.744236,281470773.49135536
2024-09-29 04:02:09,5.864,14878607001.411411,283099827.21786046
2024-09-29 05:02:19,5.821,14761572680.746847,276783009.3228554
2024-09-29 06:02:59,5.808,14728453226.388668,278013368.3202228
2024-09-29 07:01:40,5.787,14682656411.806791,270262608.7376047
2024-09-29 08:02:32,5.748,14571686979.888535,277061087.15099126
2024-09-29 09:00:52,5.775,14643767484.08414,286077813.6637538
2024-09-29 10:10:58,5.812,14737924742.757084,281187493.96156174
2024-09-29 11:05:03,5.82,14759894091.487446,283430713.7045781
2024-09-29 12:08:54,5.824,14772060435.509062,286871787.71597576
2024-09-29 13:15:22,5.787,14631705516.348518,284871808.7129469
2024-09-29 14:14:47,5.798,14710533552.21207,274116963.9060024
2024-09-29 15:09:55,5.81,14740709078.340145,276764126.66430664
2024-09-29 16:14:23,5.837,14808774586.00836,275652955.3029903
2024-09-29 17:08:42,5.848,14809055212.457323,271096871.40719825
2024-09-29 18:01:19,5.86,14871301003.353151,279005912.53671837
2024-09-29 19:02:36,5.858,14855847375.560831,279645345.59774226
2024-09-29 20:00:40,5.881,14915543772.554945,278674570.5017764
2024-09-29 21:12:06,5.892,14937679249.740583,282265582.0133848
2024-09-29 22:02:09,5.891,14935696737.54347,282199280.31277615
2024-09-29 23:10:39,5.826,14801816619.221083,283121707.170086
2024-09-30 00:14:53,5.842,14823775957.209558,263359755.14923894
2024-09-30 01:04:29,5.85,14820109568.133978,279233557.38560766
2024-09-30 02:06:07,5.802,14704273205.27351,284391967.16066694
2024-09-30 03:13:01,5.753,14654379548.789608,290162887.51139045
2024-09-30 04:11:24,5.8,14709566905.842766,299351000.94230473
2024-09-30 05:05:55,5.792,14687931391.317255,297853656.0875519
